generation,population_size,best_total_fitness,avg_total_fitness,best_trace_score,avg_trace_score,best_overlap_score,avg_overlap_score,best_trace_length_mm,avg_trace_length_mm,best_overlap_penalty,avg_overlap_penalty,min_overlap_penalty,feasible_count,infeasible_count,feasible_ratio,diversity_all_mm,diversity_feasible_mm,diversity_infeasible_mm,trace_weight,overlap_weight,mutation_rate,sigma_xy_mm
13,50,0.9809480011756904,0.6554554237153742,0.9735005776111183,0.5485596443160231,0.9892323553140592,0.7743639945470142,860.6564471419265,1335.069277374997,0.025213,0.5283384408954486,0.0,15,35,0.3,65.25230516584006,63.864510309245354,65.8476248661912,0.5266,0.4734,0.62556,23.907999999999998
14,50,0.9594562808684299,0.7143259779187288,0.9299625613125604,0.5744453712900301,0.9920284694688518,0.868806917225844,860.6564471419265,1346.0665704878504,0.025213,0.41494806838660475,0.0,19,31,0.38,68.29072431453882,73.03555397765632,64.36972851851947,0.5247999999999999,0.4752,0.62368,23.823999999999998
15,50,0.937204694065898,0.6448315950000892,0.8902938216791556,0.5060088560245739,0.9886394660958063,0.7970418517803711,860.6564471419265,1276.6983126402988,0.025213,0.45043514981038946,0.0,16,34,0.32,63.31863656099685,65.69802655736854,62.32561658397529,0.5229999999999999,0.47700000000000004,0.6218,23.74
16,50,0.9404853961021941,0.7190114695244069,0.8926957108881317,0.6411221064275827,0.9925070835156639,0.8037983033716597,860.6564471419265,1224.6862648485503,0.025213,0.6602013231338715,0.0,19,31,0.38,58.95914534617241,63.03107964893876,56.04197019472824,0.5212,0.4788,0.61992,23.656
17,50,0.9564625542975473,0.7132742616911953,0.9247669761116366,0.6137323281249525,0.9907169931443265,0.8208524562278297,860.6564471419265,1279.961322636902,0.025213,0.4865715485674973,0.0,17,33,0.34,59.37278517703003,62.115359614435235,58.39329456928122,0.5194,0.4806,0.61804,23.572
18,50,0.9411125584959246,0.6726319209930085,0.896593019874446,0.6262027016280703,0.988880620665239,0.7224490104276934,860.6564471419265,1150.4075068261418,0.025213,0.6293420603261515,0.0,12,38,0.24,56.40264985404778,63.768470705480674,53.72849314603768,0.5176000000000001,0.4824,0.61616,23.488
19,50,0.9345745421411198,0.6987580978335504,0.8796676852525278,0.6014241307209611,0.9930647461542047,0.8024443023702575,860.6564471419265,1149.8197914135092,0.025213,0.7182104527231583,0.0,14,36,0.28,53.13099247503544,55.04871064645236,52.549219996846496,0.5158,0.4842,0.61428,23.404
20,50,0.9298818182985894,0.6743736165573385,0.8738885129556629,0.6196152257602184,0.989101075389668,0.7322868117625232,860.6564471419265,1096.0843987362562,0.025213,0.6193136347261963,0.0,13,37,0.26,51.851187173615884,53.64930218750469,50.73060322991517,0.514,0.486,0.6124,23.32
21,50,0.9471266825368577,0.6514605919398463,0.9083072837908691,0.6594958456521073,0.9878878470257781,0.6430234108176238,860.6564471419265,1144.9280267780703,0.025213,0.7430925585410654,0.0,13,37,0.26,53.98712360367685,56.04145425885703,53.68507278733203,0.5122,0.4878,0.6105200000000001,23.236
22,50,0.9082100724951994,0.6210063563557123,0.8287803595941751,0.5366280227496248,0.9910142503233915,0.7089693904091172,860.6564471419265,1164.7377908227404,0.025213,0.8165990622592555,0.0,12,38,0.24,55.3284929221667,60.40180359703142,54.0333135076499,0.5104,0.48960000000000004,0.6086400000000001,23.151999999999997
